карта клиента,сумма покупки,Источник,Дата покупки
2000200152163,207,Телеграм,2023-11-17
2000200152163,845,Инстаграм,2023-12-12
2000200152163,1030,Яндекс,2024-01-14
2000200152170,420,Телеграм,2023-07-19
2000200152170,369,Яндекс,2023-08-23
2000200152170,478,Телеграм,2023-09-12
2000200152170,882,ВК,2023-10-17
2000200152170,406,Телеграм,2023-10-22
2000200152170,301,Инстаграм,2023-10-25
2000200152170,727,Яндекс,2023-12-17
2000200152170,2580,ВК,2024-01-20
2000200152187,460,Яндекс,2023-08-16
2000200152200,762,Телеграм,2023-02-10
2000200152354,254,Телеграм,2023-02-15
2000200152354,161,ВК,2023-05-21
2000200152392,708,Яндекс,2023-02-27
2000200152392,51,Яндекс,2023-09-23
2000200152422,231,ВК,2023-08-17
2000200152439,141,Телеграм,2023-02-13
2000200152453,258,Яндекс,2023-10-27
2000200152484,1937,Яндекс,2023-09-12
2000200152484,1587,Яндекс,2023-10-20
2000200152484,582,Яндекс,2023-12-21
2000200152514,62,Телеграм,2023-07-23
2000200152576,1693,ВК,2023-03-28
2000200152576,564,Телеграм,2023-06-17
2000200152576,168,Яндекс,2023-06-17
2000200152576,322,Яндекс,2023-07-23
2000200152576,256,Инстаграм,2023-08-19
2000200152576,509,ВК,2023-08-22
2000200152576,650,ВК,2023-08-28
2000200152576,190,Яндекс,2023-09-13
2000200152576,1016,Инстаграм,2023-09-15
2000200152576,698,ВК,2023-09-16
2000200152576,84,Телеграм,2023-09-25
2000200152576,486,Телеграм,2023-09-28
2000200152576,1698,Инстаграм,2023-10-10
2000200152576,187,Яндекс,2023-10-10
2000200152576,334,Инстаграм,2023-10-21
2000200152576,281,Инстаграм,2023-10-24
2000200152576,282,ВК,2023-10-24
2000200152576,335,ВК,2023-10-26
2000200152576,338,Инстаграм,2023-11-12
2000200152576,185,Инстаграм,2023-11-16
2000200152576,1665,Телеграм,2023-11-22
2000200152576,523,Яндекс,2023-11-23
2000200152576,338,ВК,2023-11-24
2000200152576,603,Яндекс,2023-11-25
2000200152576,109,Инстаграм,2023-11-28
2000200152576,1420,Яндекс,2023-12-11
2000200152576,583,ВК,2023-12-19
2000200152576,3471,Инстаграм,2023-12-23
2000200152576,848,Телеграм,2024-01-15
2000200152620,666,Яндекс,2023-12-18
2000200152729,458,ВК,2023-02-13
2000200152729,1909,Инстаграм,2023-07-15
2000200152729,1104,Инстаграм,2023-07-19
2000200152729,1640,ВК,2023-10-14
2000200152736,907,Яндекс,2023-02-14
2000200152736,34,Яндекс,2023-03-10
2000200152736,301,ВК,2023-03-17
2000200152736,707,Инстаграм,2023-03-28
2000200152736,594,Инстаграм,2023-08-12
2000200152736,173,ВК,2023-09-19
2000200152736,67,Яндекс,2023-10-17
2000200152736,360,Телеграм,2023-10-23
2000200152736,125,Телеграм,2023-10-24
2000200152736,152,Яндекс,2023-12-11
2000200152736,837,Инстаграм,2023-12-11
2000200152736,212,Инстаграм,2023-12-17
2000200152736,893,Инстаграм,2023-12-22
2000200152736,63,Телеграм,2023-12-23
2000200152736,155,Яндекс,2023-12-24
2000200152743,1302,Телеграм,2023-11-12
2000200152774,2223,ВК,2023-08-25
2000200152910,1142,Инстаграм,2023-09-26
2000200152910,133,Яндекс,2023-11-11
2000200152927,962,ВК,2023-12-14
2000200152989,1222,Инстаграм,2023-11-11
2000200152989,336,Яндекс,2023-11-21
2000200152996,1297,Яндекс,2023-04-24
2000200152996,423,ВК,2023-08-20
2000200152996,151,Яндекс,2023-09-27
2000200153023,282,Инстаграм,2023-03-18
2000200153047,1072,ВК,2023-02-14
2000200153047,474,ВК,2023-02-27
2000200153047,3615,Телеграм,2023-08-20
2000200153047,1455,ВК,2023-12-26
2000200153047,594,ВК,2024-01-19
2000200153122,447,Инстаграм,2023-02-23
2000200153122,3691,Инстаграм,2023-02-23
2000200153122,140,Яндекс,2023-02-26
2000200153122,131,Телеграм,2023-03-13
2000200153122,794,Телеграм,2023-03-19
2000200153122,723,Яндекс,2023-05-13
2000200153122,804,Яндекс,2023-08-13
2000200153122,21,ВК,2023-08-23
2000200153122,215,Инстаграм,2023-09-27
2000200153122,714,Инстаграм,2023-10-19
2000200153122,839,Яндекс,2023-11-16
2000200153122,293,ВК,2023-12-26
2000200153146,109,Яндекс,2023-06-23
2000200153153,1948,Инстаграм,2023-04-20
2000200153191,2419,Яндекс,2023-06-17
2000200153191,530,Яндекс,2023-08-17
2000200153191,774,Инстаграм,2023-09-25
2000200153214,1286,Инстаграм,2023-05-11
2000200153214,69,Телеграм,2023-10-16
2000200153214,721,ВК,2023-11-12
2000200153238,856,Инстаграм,2023-06-10
2000200153238,660,Яндекс,2023-06-27
2000200153368,1388,Яндекс,2023-04-24
2000200153368,630,ВК,2023-06-25
2000200153368,2832,Телеграм,2023-06-26
2000200154211,218,ВК,2023-12-14
2000200154310,758,Инстаграм,2023-03-15
2000200154310,151,Яндекс,2023-03-19
2000200154310,778,ВК,2023-08-27
2000200154310,783,Яндекс,2023-09-22
2000200154372,358,ВК,2023-08-27
2000200154419,553,Яндекс,2023-08-12
2000200154419,690,Яндекс,2023-11-10
2000200154419,2919,Инстаграм,2023-12-22
2000200154495,224,Телеграм,2023-08-27
2000200154495,228,Инстаграм,2023-10-18
2000200154495,376,Инстаграм,2023-12-28
2000200154563,985,ВК,2023-05-24
2000200154563,1173,Телеграм,2023-12-16
2000200154624,631,Яндекс,2023-03-10
2000200154624,198,Телеграм,2023-05-23
2000200154648,646,ВК,2023-05-26
2000200154648,3347,Телеграм,2023-07-21
2000200154648,4610,ВК,2023-07-24
2000200154648,2999,Телеграм,2023-12-18
2000200154648,524,Яндекс,2023-12-19
2000200154648,3369,Инстаграм,2023-12-19
2000200154648,592,Телеграм,2023-12-25
2000200154648,291,Инстаграм,2023-12-27
2000200154815,997,Яндекс,2023-06-27
2000200154815,1114,Телеграм,2023-12-13
2000200154822,309,Яндекс,2023-07-12
2000200154969,860,ВК,2023-04-19
2000200154976,297,Яндекс,2023-07-26
2000200154976,2137,Инстаграм,2023-08-13
2000200155034,1582,ВК,2023-03-18
2000200155065,790,Инстаграм,2023-06-11
2000200155065,456,Яндекс,2023-06-19
2000200155065,199,Телеграм,2023-08-11
2000200155065,5924,Телеграм,2023-09-14
2000200155065,1783,Яндекс,2023-09-17
2000200155065,775,ВК,2023-11-28
2000200155072,387,Яндекс,2023-05-27
2000200155072,117,ВК,2023-09-17
2000200155072,1602,ВК,2023-09-24
2000200155072,924,Яндекс,2023-11-27
2000200155072,162,Инстаграм,2024-01-22
2000200155096,229,Телеграм,2023-11-28
2000200155126,224,Инстаграм,2023-04-24
2000200155157,1284,ВК,2023-03-14
2000200155188,721,Инстаграм,2023-06-17
2000200155188,143,Телеграм,2023-06-21
2000200155188,267,Телеграм,2023-12-12
2000200155201,786,Телеграм,2023-11-24
2000200155201,774,Инстаграм,2023-12-19
2000200155201,144,ВК,2024-01-16
2000200155270,1085,ВК,2023-02-14
2000200155270,932,Яндекс,2023-04-25
2000200155270,850,Телеграм,2023-05-13
2000200155270,76,Яндекс,2023-08-22
2000200155355,709,Телеграм,2023-09-23
2000200155355,715,Телеграм,2023-10-27
2000200155355,1023,Яндекс,2023-11-15
2000200155355,857,ВК,2023-12-25
2000200155355,3608,Телеграм,2023-12-26
2000200155386,54,Инстаграм,2023-08-14
2000200155386,1942,ВК,2023-09-15
2000200155393,212,Телеграм,2023-02-12
2000200155393,1485,Яндекс,2023-02-16
2000200155393,799,Инстаграм,2023-03-16
2000200155393,348,ВК,2023-04-17
2000200155393,1346,Инстаграм,2023-06-10
2000200155393,646,Яндекс,2023-06-20
2000200155393,850,Яндекс,2023-08-23
2000200155393,1249,Телеграм,2023-09-16
2000200155393,953,Яндекс,2023-11-17
2000200155393,1527,ВК,2023-12-13
2000200155416,714,Инстаграм,2023-07-24
2000200155416,2561,Яндекс,2023-10-18
2000200155416,3830,Инстаграм,2023-10-19
2000200155478,436,Телеграм,2023-03-18
2000200155478,800,Телеграм,2023-10-12
2000200155478,969,ВК,2023-11-13
2000200155478,633,ВК,2023-11-15
2000200155485,3344,Инстаграм,2023-02-13
2000200155485,1096,ВК,2023-03-17
2000200155546,403,Телеграм,2023-10-16
2000200155621,303,Яндекс,2023-09-25
2000200155669,314,ВК,2023-03-26
2000200155669,340,Яндекс,2023-04-15
2000200155669,801,Телеграм,2023-06-27
2000200155683,2529,Телеграм,2023-07-15
2000200155706,613,ВК,2023-11-13
2000200155751,252,ВК,2023-02-23
2000200155751,1128,Инстаграм,2023-03-17
2000200155843,101,Телеграм,2023-02-10
2000200155843,851,Яндекс,2023-03-15
2000200155843,469,Яндекс,2023-03-16
2000200155911,533,Инстаграм,2023-08-22
2000200155911,617,Телеграм,2023-09-18
2000200155911,580,ВК,2023-09-21
2000200155911,377,Инстаграм,2023-09-28
2000200155911,436,Яндекс,2023-12-15
2000200155911,431,Яндекс,2024-01-24
2000200155935,292,ВК,2023-02-11
2000200155935,296,Телеграм,2023-02-13
2000200155935,202,ВК,2023-02-23
2000200155935,79,Яндекс,2023-03-20
2000200155935,52,Инстаграм,2023-03-21
2000200155935,1150,ВК,2023-03-22
2000200155935,942,ВК,2023-03-24
2000200155935,205,Инстаграм,2023-04-12
2000200155935,1053,ВК,2023-06-24
2000200155935,163,Яндекс,2023-06-24
2000200155935,381,Яндекс,2023-07-21
2000200155935,466,ВК,2023-07-27
2000200155935,430,Яндекс,2023-08-20
2000200155935,152,Яндекс,2023-08-22
2000200155935,687,Яндекс,2023-09-11
2000200155935,237,ВК,2023-09-17
2000200155935,410,Инстаграм,2023-11-21
2000200155935,306,ВК,2023-12-16
2000200155935,178,Телеграм,2024-01-13
2000200155959,170,Телеграм,2023-11-28
2000200156017,114,ВК,2023-03-14
2000200156017,527,Телеграм,2023-03-25
2000200156017,520,Телеграм,2023-04-18
2000200156017,394,Инстаграм,2023-04-25
2000200156017,455,Инстаграм,2023-05-19
2000200156017,1231,Инстаграм,2023-06-11
2000200156017,525,Инстаграм,2023-06-23
2000200156017,919,Телеграм,2023-11-16
2000200156031,137,Яндекс,2023-10-26
2000200156031,2200,Телеграм,2023-12-20
2000200156055,90,Яндекс,2023-03-18
2000200156079,138,Яндекс,2023-08-16
2000200156079,135,Инстаграм,2023-08-21
2000200156079,1981,Телеграм,2023-09-11
2000200156079,213,ВК,2023-12-26
2000200156147,1426,Инстаграм,2023-07-14
2000200156147,2961,Яндекс,2023-07-23
2000200156147,214,Телеграм,2023-08-13
2000200156147,420,ВК,2023-10-16
2000200156147,323,Яндекс,2023-11-19
2000200156147,1376,Телеграм,2023-12-23
2000200156147,698,Инстаграм,2023-12-25
2000200156147,1745,Яндекс,2024-01-11
2000200156345,112,Телеграм,2023-10-22
2000200156345,2815,ВК,2023-11-12
2000200156345,3427,Телеграм,2023-11-12
2000200156345,808,Яндекс,2023-11-15
2000200156345,1759,Яндекс,2023-11-24
2000200156345,302,Телеграм,2024-01-19
2000200156352,860,ВК,2023-11-14
2000200156376,38,Телеграм,2023-01-24
2000200156376,1451,Телеграм,2023-01-25
2000200156376,4774,Телеграм,2023-02-11
2000200156376,78,Телеграм,2023-03-16
2000200156376,83,Яндекс,2023-04-14
2000200156376,115,Инстаграм,2023-05-25
2000200156376,58,Яндекс,2023-06-24
2000200156376,143,ВК,2023-06-25
2000200156376,1128,Инстаграм,2023-07-25
2000200156376,34,Яндекс,2023-07-26
2000200156376,74,Инстаграм,2023-08-17
2000200156376,865,Инстаграм,2023-09-28
2000200156376,1678,Яндекс,2023-10-10
2000200156376,187,ВК,2023-10-11
2000200156376,660,ВК,2023-10-28
2000200156376,49,Инстаграм,2023-11-16
2000200156376,656,Яндекс,2023-12-11
2000200156376,3426,Яндекс,2023-12-11
2000200156376,102,Инстаграм,2023-12-13
2000200156376,465,Яндекс,2024-01-11
2000200156437,851,ВК,2023-01-11
2000200156437,1634,Телеграм,2023-01-23
2000200156437,653,ВК,2023-01-24
2000200156437,607,Телеграм,2023-02-12
2000200156437,142,Инстаграм,2023-02-15
2000200156437,252,Инстаграм,2023-02-21
2000200156468,687,Инстаграм,2023-12-25
2000200156499,211,Яндекс,2023-02-28
2000200156499,627,Инстаграм,2023-04-23
2000200156499,1202,Яндекс,2023-06-16
2000200156499,2857,Инстаграм,2023-08-24
2000200156499,7548,Инстаграм,2023-12-12
2000200156499,4867,Телеграм,2023-12-23
2000200156505,1332,ВК,2023-08-26
2000200156505,2762,Инстаграм,2023-10-24
2000200156512,197,Яндекс,2023-03-11
2000200156512,778,ВК,2023-05-14
2000200156512,416,Телеграм,2023-06-15
2000200156512,382,ВК,2023-09-14
2000200156512,255,Яндекс,2023-12-20
2000200156529,432,Яндекс,2023-03-17
2000200156529,463,Яндекс,2023-07-26
2000200156536,655,ВК,2023-03-20
2000200156536,276,Телеграм,2023-03-28
2000200156536,3097,Яндекс,2023-04-14
2000200156536,486,Яндекс,2023-04-26
2000200156536,98,Телеграм,2023-06-18
2000200156536,125,Яндекс,2023-07-17
2000200156536,773,Яндекс,2023-08-13
2000200156536,125,Яндекс,2023-08-24
2000200156536,257,Инстаграм,2023-10-11
2000200156550,240,ВК,2023-05-15
2000200156550,966,Инстаграм,2023-08-13
2000200156604,396,Инстаграм,2023-02-16
2000200156604,398,ВК,2023-03-17
2000200156604,269,Телеграм,2023-03-19
2000200156604,577,Яндекс,2023-03-20
2000200156604,438,ВК,2023-03-28
2000200156604,1591,Инстаграм,2023-04-19
2000200156604,502,Яндекс,2023-04-23
2000200156604,4551,ВК,2023-04-26
2000200156604,248,ВК,2023-06-15
2000200156604,522,Телеграм,2023-07-12
2000200156604,2867,Инстаграм,2023-07-14
2000200156604,4670,Телеграм,2023-07-14
2000200156604,142,ВК,2023-07-17
2000200156604,836,Яндекс,2023-07-25
2000200156604,1572,Инстаграм,2023-07-27
2000200156604,3793,Телеграм,2023-08-11
2000200156604,158,Инстаграм,2023-08-12
2000200156604,415,Яндекс,2023-08-13
2000200156604,1849,Телеграм,2023-08-13
2000200156604,799,Телеграм,2023-08-16
2000200156604,216,Яндекс,2023-08-17
2000200156604,1903,Яндекс,2023-08-17
2000200156604,468,Яндекс,2023-08-17
2000200156604,181,Инстаграм,2023-08-18
2000200156604,347,Инстаграм,2023-08-20
2000200156604,1078,Телеграм,2023-08-21
2000200156604,771,ВК,2023-08-22
2000200156604,423,Инстаграм,2023-08-24
2000200156604,366,ВК,2023-08-24
2000200156604,194,ВК,2023-08-25
2000200156604,134,Яндекс,2023-08-28
2000200156604,1214,Яндекс,2023-09-10
2000200156604,516,ВК,2023-09-18
2000200156604,821,Телеграм,2023-09-19
2000200156604,775,Инстаграм,2023-09-23
2000200156604,425,ВК,2023-09-23
2000200156604,741,Яндекс,2023-09-24
2000200156604,486,Телеграм,2023-09-26
2000200156604,2476,Телеграм,2023-09-26
2000200156604,484,Телеграм,2023-10-23
2000200156604,673,Инстаграм,2023-11-28
2000200156604,848,ВК,2023-12-21
2000200156604,433,Телеграм,2024-01-13
2000200156604,226,Инстаграм,2024-01-14
2000200156635,374,Яндекс,2023-10-23
2000200156635,4808,Яндекс,2023-11-23
2000200156635,1124,Инстаграм,2023-12-27
2000200156673,437,ВК,2023-05-12
2000200156680,209,Инстаграм,2023-02-19
2000200156710,394,Инстаграм,2023-02-12
2000200156710,156,Яндекс,2023-02-14
2000200156710,419,Инстаграм,2023-02-20
2000200156710,1722,ВК,2023-03-27
2000200156710,113,Яндекс,2023-07-13
2000200156710,470,Яндекс,2023-08-10
2000200156710,1360,Инстаграм,2023-08-15
2000200156710,427,Телеграм,2023-09-10
2000200156710,830,ВК,2023-09-10
2000200156710,906,Телеграм,2023-09-17
2000200156710,429,Яндекс,2023-09-17
2000200156710,723,ВК,2023-09-18
2000200156710,828,Инстаграм,2023-09-19
2000200156710,675,Телеграм,2023-09-26
2000200156710,1623,Инстаграм,2023-09-26
2000200156710,1118,Яндекс,2023-10-11
2000200156710,775,Телеграм,2023-10-12
2000200156710,1154,Телеграм,2023-10-16
2000200156710,782,Телеграм,2023-10-16
2000200156710,1553,Инстаграм,2023-10-18
2000200156710,307,Телеграм,2023-10-23
2000200156710,394,ВК,2023-10-26
2000200156710,759,Телеграм,2023-10-28
2000200156710,1012,Телеграм,2023-11-11
2000200156710,2235,Яндекс,2023-11-22
2000200156710,507,ВК,2023-11-23
2000200156710,327,Инстаграм,2023-12-11
2000200156710,55,Инстаграм,2023-12-14
2000200156727,54,Телеграм,2023-02-13
2000200156727,220,Инстаграм,2023-02-16
2000200156727,136,ВК,2023-03-12
2000200156727,270,Телеграм,2023-03-20
2000200156727,27,Яндекс,2023-06-16
2000200156727,926,Телеграм,2023-06-19
2000200156727,77,Телеграм,2023-10-18
2000200156727,48,Инстаграм,2023-11-22
2000200156727,96,Телеграм,2023-12-11
2000200156727,96,Телеграм,2023-12-20
2000200156741,123,ВК,2023-01-20
2000200156741,603,Телеграм,2023-03-15
2000200156741,656,Яндекс,2023-03-18
2000200156741,309,Телеграм,2023-03-24
2000200156741,965,Инстаграм,2023-07-24
2000200156741,582,Телеграм,2023-08-21
2000200156741,49,ВК,2023-08-27
2000200156741,572,Яндекс,2023-09-19
2000200156741,576,Телеграм,2023-09-28
2000200156741,406,Телеграм,2023-10-24
2000200156772,6307,Инстаграм,2023-04-21
2000200156796,442,Яндекс,2023-02-16
2000200156796,732,Яндекс,2023-02-21
2000200156796,204,Яндекс,2023-02-27
2000200156796,103,ВК,2023-04-11
2000200156796,1855,ВК,2023-05-18
2000200156796,80,Инстаграм,2023-05-26
2000200156796,192,Телеграм,2023-06-24
2000200156796,336,ВК,2023-11-19
2000200156796,1630,Яндекс,2023-12-16
2000200156796,303,Телеграм,2023-12-22
2000200156796,291,Телеграм,2024-01-12
2000200156833,231,Яндекс,2023-03-11
2000200156833,736,Яндекс,2023-03-11
2000200156833,120,Яндекс,2023-03-15
2000200156833,109,Телеграм,2023-03-21
2000200156833,273,Инстаграм,2023-03-23
2000200156833,105,Телеграм,2023-03-23
2000200156833,486,Телеграм,2023-03-28
2000200156833,140,ВК,2024-01-27
2000200156840,635,ВК,2023-09-21
2000200156871,783,Инстаграм,2023-01-20
2000200156888,108,ВК,2023-09-17
2000200156888,2320,Яндекс,2023-12-23
2000200156963,283,Телеграм,2023-03-18
2000200156963,614,Телеграм,2023-07-26
2000200156963,90,ВК,2023-11-24
2000200156970,436,Яндекс,2023-06-28
2000200156987,1171,Инстаграм,2023-11-24
2000200156987,309,Инстаграм,2023-12-10
2000200157007,186,ВК,2023-03-22
2000200157007,515,Яндекс,2023-04-15
2000200157007,808,Телеграм,2023-05-22
2000200157007,218,Яндекс,2023-06-23
2000200157007,260,Инстаграм,2023-06-27
2000200157007,192,ВК,2023-07-18
2000200157007,197,Телеграм,2023-08-12
2000200157007,1202,Телеграм,2023-10-10
2000200157007,667,Инстаграм,2023-10-26
2000200157007,203,Инстаграм,2023-11-10
2000200157007,2407,Инстаграм,2023-11-18
2000200157007,245,Инстаграм,2023-11-20
2000200157007,114,Инстаграм,2024-01-10
2000200157007,1123,ВК,2024-01-17
2000200157007,204,Телеграм,2024-01-23
2000200157007,464,Телеграм,2024-01-24
2000200157007,199,Инстаграм,2024-01-26
2000200157007,145,Инстаграм,2024-01-26
2000200157014,709,Инстаграм,2023-02-21
